"time"	"time"	"antispace"
3150	3150	0.04285212687
3160	3160	0.04242574108
3170	3170	0.0420035979
3180	3180	0.04158565512
3190	3190	0.04117187094
3200	3200	0.04076220398
3210	3210	0.04035661327
3220	3220	0.03995505826
3230	3230	0.03955749879
3240	3240	0.0391638951
3250	3250	0.03877420783
3260	3260	0.03838839802
3270	3270	0.03800642708
3280	3280	0.03762825681
3290	3290	0.0372538494
3300	3300	0.0368831674
3310	3310	0.03651617375
3320	3320	0.03615283175
3330	3330	0.03579310507
3340	3340	0.03543695772
3350	3350	0.0350843541
3360	3360	0.03473525894
3370	3370	0.03438963734
3380	3380	0.03404745473
3390	3390	0.0337086769
3400	3400	0.03337326996
3410	3410	0.03304120038
3420	3420	0.03271243494
3430	3430	0.03238694077
3440	3440	0.03206468533
3450	3450	0.03174563638
3460	3460	0.03142976202
3470	3470	0.03111703066
3480	3480	0.03080741103
3490	3490	0.03050087217
3500	3500	0.03019738342
3510	3510	0.02989691444
3520	3520	0.02959943517
3530	3530	0.02930491587
3540	3540	0.02901332708
3550	3550	0.02872463965
3560	3560	0.02843882471
3570	3570	0.02815585368
3580	3580	0.02787569826
3590	3590	0.02759833042
3600	3600	0.02732372245
3610	3610	0.02705184687
3620	3620	0.02678267649
3630	3630	0.02651618441
3640	3640	0.02625234397
3650	3650	0.02599112878
3660	3660	0.02573251273
3670	3670	0.02547646995
3680	3680	0.02522297484
3690	3690	0.02497200204
3700	3700	0.02472352647
3710	3710	0.02447752327
3720	3720	0.02423396785
3730	3730	0.02399283584
3740	3740	0.02375410313
3750	3750	0.02351774586
3760	3760	0.02328374037
3770	3770	0.02305206329
3780	3780	0.02282269143
3790	3790	0.02259560185
3800	3800	0.02237077186
3810	3810	0.02214817896
3820	3820	0.02192780089
3830	3830	0.02170961563
3840	3840	0.02149360135
3850	3850	0.02127973644
3860	3860	0.02106799952
3870	3870	0.02085836943
3880	3880	0.02065082518
3890	3890	0.02044534604
3900	3900	0.02024191145
3910	3910	0.02004050106
3920	3920	0.01984109474
3930	3930	0.01964367255
3940	3940	0.01944821475
3950	3950	0.01925470178
3960	3960	0.01906311429
3970	3970	0.01887343314
3980	3980	0.01868563934
3990	3990	0.01849971412
4000	4000	0.01831563889
4010	4010	0.01813339524
4020	4020	0.01795296494
4030	4030	0.01777432995
4040	4040	0.01759747242
4050	4050	0.01742237464
4060	4060	0.01724901912
4070	4070	0.01707738851
4080	4080	0.01690746565
4090	4090	0.01673923356
4100	4100	0.0165726754
4110	4110	0.01640777453
4120	4120	0.01624451444
4130	4130	0.01608287882
4140	4140	0.0159228515
4150	4150	0.01576441648
4160	4160	0.01560755792
4170	4170	0.01545226012
4180	4180	0.01529850757
4190	4190	0.01514628487
4200	4200	0.01499557682
4210	4210	0.01484636834
4220	4220	0.0146986445
4230	4230	0.01455239055
4240	4240	0.01440759184
4250	4250	0.01426423391
4260	4260	0.01412230241
4270	4270	0.01398178315
4280	4280	0.01384266209
4290	4290	0.0137049253
4300	4300	0.01356855901
4310	4310	0.01343354959
4320	4320	0.01329988354
4330	4330	0.01316754749
4340	4340	0.0130365282
4350	4350	0.01290681258
4360	4360	0.01277838765
4370	4370	0.01265124057
4380	4380	0.01252535862
4390	4390	0.01240072922
4400	4400	0.0122773399
4410	4410	0.01215517833
4420	4420	0.01203423228
4430	4430	0.01191448967
4440	4440	0.01179593852
4450	4450	0.01167856697
4460	4460	0.01156236329
4470	4470	0.01144731585
4480	4480	0.01133341315
4490	4490	0.01122064381
4500	4500	0.01110899654
4510	4510	0.01099846018
4520	4520	0.01088902367
4530	4530	0.01078067607
4540	4540	0.01067340655
4550	4550	0.01056720438
4560	4560	0.01046205894
4570	4570	0.01035795972
4580	4580	0.0102548963
4590	4590	0.01015285837
4600	4600	0.01005183574
4610	4610	0.009951818308
4620	4620	0.009852796061
4630	4630	0.009754759102
4640	4640	0.009657697628
4650	4650	0.009561601931
4660	4660	0.009466462402
4670	4670	0.009372269527
4680	4680	0.009279013887
4690	4690	0.009186686156
4700	4700	0.009095277102
4710	4710	0.009004777582
4720	4720	0.008915178548
4730	4730	0.00882647104
4740	4740	0.008738646185
4750	4750	0.008651695203
4760	4760	0.008565609397
4770	4770	0.00848038016
4780	4780	0.008395998967
4790	4790	0.008312457382
4800	4800	0.008229747049
4810	4810	0.008147859698
4820	4820	0.008066787139
4830	4830	0.007986521266
4840	4840	0.007907054052
4850	4850	0.007828377549
4860	4860	0.007750483891
4870	4870	0.007673365288
4880	4880	0.007597014028
4890	4890	0.007521422475
4900	4900	0.007446583071
4910	4910	0.007372488331
4920	4920	0.007299130847
4930	4930	0.007226503281
4940	4940	0.007154598372
4950	4950	0.007083408929
4960	4960	0.007012927833
4970	4970	0.006943148035
4980	4980	0.006874062557
4990	4990	0.006805664492
5000	5000	0.006737946999
5010	5010	0.006670903306
5020	5020	0.006604526709
5030	5030	0.006538810571
5040	5040	0.006473748318
5050	5050	0.006409333446
5060	5060	0.006345559513
5070	5070	0.006282420141
5080	5080	0.006219909016
5090	5090	0.006158019887
5100	5100	0.006096746566
5110	5110	0.006036082924
5120	5120	0.005976022895
5130	5130	0.005916560474
5140	5140	0.005857689713
5150	5150	0.005799404727
5160	5160	0.005741699686
5170	5170	0.005684568819
5180	5180	0.005628006414
5190	5190	0.005572006815
5200	5200	0.005516564421
5210	5210	0.005461673688
5220	5220	0.005407329126
5230	5230	0.005353525303
5240	5240	0.005300256836
5250	5250	0.005247518399
5260	5260	0.005195304719
5270	5270	0.005143610573
5280	5280	0.005092430793
5290	5290	0.00504176026
5300	5300	0.004991593907
5310	5310	0.004941926718
5320	5320	0.004892753725
5330	5330	0.004844070012
5340	5340	0.00479587071
5350	5350	0.004748150999
5360	5360	0.004700906108
5370	5370	0.00465413131
5380	5380	0.00460782193
5390	5390	0.004561973336
5400	5400	0.004516580943
5410	5410	0.004471640211
5420	5420	0.004427146648
5430	5430	0.004383095803
5440	5440	0.004339483271
5450	5450	0.004296304691
5460	5460	0.004253555745
5470	5470	0.004211232158
5480	5480	0.004169329698
5490	5490	0.004127844174
5500	5500	0.004086771438
5510	5510	0.004046107383
5520	5520	0.004005847942
5530	5530	0.003965989089
5540	5540	0.003926526838
5550	5550	0.003887457243
5560	5560	0.003848776398
5570	5570	0.003810480433
5580	5580	0.003772565519
5590	5590	0.003735027865
5600	5600	0.003697863716
5610	5610	0.003661069358
5620	5620	0.003624641109
5630	5630	0.003588575327
5640	5640	0.003552868406
5650	5650	0.003517516775
5660	5660	0.003482516898
5670	5670	0.003447865276
5680	5680	0.003413558443
5690	5690	0.003379592969
5700	5700	0.003345965457
5710	5710	0.003312672545
5720	5720	0.003279710902
5730	5730	0.003247077234
5740	5740	0.003214768275
5750	5750	0.003182780797
5760	5760	0.003151111598
5770	5770	0.003119757514
5780	5780	0.003088715408
5790	5790	0.003057982176
5800	5800	0.003027554745
5810	5810	0.002997430072
5820	5820	0.002967605145
5830	5830	0.00293807698
5840	5840	0.002908842626
5850	5850	0.002879899158
5860	5860	0.002851243683
5870	5870	0.002822873334
5880	5880	0.002794785275
5890	5890	0.002766976697
5900	5900	0.002739444819
5910	5910	0.002712186887
5920	5920	0.002685200177
5930	5930	0.002658481989
5940	5940	0.002632029651
5950	5950	0.002605840518
5960	5960	0.002579911972
5970	5970	0.002554241419
5980	5980	0.002528826292
5990	5990	0.00250366405
6000	6000	0.002478752177
6010	6010	0.00245408818
6020	6020	0.002429669595
6030	6030	0.002405493979
6040	6040	0.002381558914
6050	6050	0.002357862006
6060	6060	0.002334400888
6070	6070	0.002311173211
6080	6080	0.002288176653
6090	6090	0.002265408915
6100	6100	0.002242867719
6110	6110	0.002220550813
6120	6120	0.002198455963
6130	6130	0.002176580961
6140	6140	0.002154923618
6150	6150	0.00213348177
6160	6160	0.002112253272
6170	6170	0.002091236001
6180	6180	0.002070427855
6190	6190	0.002049826753
6200	6200	0.002029430636
6210	6210	0.002009237464
6220	6220	0.001989245217
6230	6230	0.001969451897
6240	6240	0.001949855523
6250	6250	0.001930454136
6260	6260	0.001911245797
6270	6270	0.001892228583
